company_name,postings,distinct_categories,distinct_governorates,avg_salary_mid,remote_postings,top_category,top_governorate,hiring_rank
Confidential,24,6,5,,0,Other,Cairo,1
Egypt Africa,9,1,5,,0,Other,Cairo,2
Etisalat Egypt,3,1,1,,0,Other,Cairo,3
SIPES,3,1,1,,0,Other,Cairo,3
Vertex Technologies,3,2,1,,0,Backend Development,Cairo,3
iBrokerage Ltd.,3,2,1,,3,Backend Development,Cairo,3
الجبر للصناعه والاعمال,2,1,1,,0,Other,Cairo,7
iucon Egypt,2,1,1,,0,Full Stack Development,Giza,7
Growth Horizons Consulting,2,2,1,,0,Frontend Development,Cairo,7
HENNGE,2,2,1,,0,Frontend Development,Egypt,7
Akhnaton Trading and distribution EVA Group Limted,2,1,1,,0,Other,Cairo,7
Efada Technology,2,2,1,,0,Mobile Development,Cairo,7
3D Diagnostix,2,2,1,,0,Backend Development,Cairo,7
Gahbiz.com,2,1,1,,0,Other,Alexandria,7
Tawfeer,2,2,1,,0,Mobile Development,Cairo,7
Expert Apps,2,2,1,,0,Backend Development,Cairo,7
Contra PMC,2,1,1,,0,Other,Cairo,7
Ayvo,2,2,1,,0,Full Stack Development,Egypt,7
ARX Developments,2,1,1,,0,Other,Cairo,7
Hook Solutions,1,1,1,,0,Other,Cairo,20
ICIS,1,1,1,,0,Other,Cairo,20
ICON Holding,1,1,1,,0,Other,Cairo,20
Industrial Modernisation Centre (IMC),1,1,1,,0,Other,Cairo,20
Injaz Digital,1,1,1,,0,Other,Cairo,20
KNA,1,1,1,,0,Other,Giza,20
KONNICE,1,1,1,,0,Other,Cairo,20
Kadmar Group,1,1,1,,0,Other,Alexandria,20
"LS ELECTRIC Co., Ltd.",1,1,1,,0,Other,Cairo,20
LavaLoon,1,1,1,,0,Other,Cairo,20
Linket,1,1,1,,0,Backend Development,Cairo,20
Lubemaster,1,1,1,,0,Other,Cairo,20
Lufian,1,1,1,,0,Other,Alexandria,20
MTS-IT,1,1,1,,0,Other,Cairo,20
Maalem-Group,1,1,1,,0,Other,Cairo,20
Meam,1,1,1,,0,Other,Egypt,20
MegaSoft,1,1,1,,0,Other,Cairo,20
Mondia Media Egypt,1,1,1,,0,Mobile Development,Cairo,20
National technology group,1,1,1,,0,Other,Giza,20
Nova AI Labs,1,1,1,,0,Other,Egypt,20
Our Education,1,1,1,,0,Other,Cairo,20
PAPPAROTI,1,1,1,,0,Other,Cairo,20
Qanawat,1,1,1,,0,Project & Product Management,Cairo,20
Rescounts,1,1,1,,0,Backend Development,Cairo,20
Roaya,1,1,1,,0,Other,Cairo,20
Saudisoft,1,1,1,,0,QA & Testing,Giza,20
Semicode LLC,1,1,1,,0,Other,Cairo,20
Senior Steps,1,1,1,,0,Other,Cairo,20
Smart EGAT,1,1,1,,0,Mobile Development,Giza,20
Softxpert Incorporation,1,1,1,,0,Other,Alexandria,20
Stradigimc,1,1,1,,0,Other,Cairo,20
TECHNOSAT,1,1,1,,0,Other,Cairo,20
Teaspoon,1,1,1,,0,Backend Development,Egypt,20
TechJump,1,1,1,,0,Full Stack Development,Alexandria,20
Total Energies,1,1,1,,0,Other,Giza,20
Town Team,1,1,1,,0,Other,Cairo,20
VIP RENT A CAR L.L.C,1,1,1,,0,Other,Cairo,20
VOIS Egypt,1,1,1,,0,Other,Cairo,20
Valmore Holding,1,1,1,,0,Other,Giza,20
Whitesky,1,1,1,,0,Other,Giza,20
bluworks,1,1,1,,0,Other,Cairo,20
eBSEG,1,1,1,,0,Other,Cairo,20
eVision,1,1,1,,0,Other,Cairo,20
expostudios,1,1,1,,0,Other,Cairo,20
lanquez,1,1,1,,0,Other,Cairo,20
أمان,1,1,1,,0,Other,Giza,20
اتش دي للطباعه,1,1,1,14500,0,Other,Giza,20
اتصالات مصر,1,1,1,6800,0,Other,Giza,20
اجيبشيان ميكرو سوليوشنز,1,1,1,,0,Other,Cairo,20
ار واي ان,1,1,1,,0,Other,Cairo,20
البدار للعبوات,1,1,1,,0,Other,Cairo,20
بي كونكت,1,1,1,,0,Other,Giza,20
جيمبكس,1,1,1,,0,Other,Cairo,20
جيوكس,1,1,1,,0,IT Support & Networking,Cairo,20
رايه لانشاء و اداره المباني,1,1,1,,0,Other,Giza,20
شركة ثروة التقني المحدودة,1,1,1,338,0,Other,Cairo,20
غير محدد,1,1,1,17250,0,UI/UX Design,Cairo,20
فالى تريد,1,1,1,9000,0,UI/UX Design,Cairo,20
مجموعة شركات سامي عايد,1,1,1,,0,Other,Egypt,20
مجموعه مطاوع جروب للاستثمار العقاري والسياحي,1,1,1,,0,IT Support & Networking,Cairo,20
34ML,1,1,1,,0,Backend Development,Cairo,20
نانو سوفت,1,1,1,9000,0,Other,Cairo,20
ACE Consulting Engineers (Moharram Bakhoum,1,1,1,,0,Other,Giza,20
ATG,1,1,1,,0,Other,Cairo,20
Actum.cx,1,1,1,,0,Full Stack Development,Cairo,20
Al Ahly Momkn for e-payment,1,1,1,,0,Other,Cairo,20
Al fawzy dental,1,1,1,,0,Other,Giza,20
Ali Ben Ali,1,1,1,,0,Other,Cairo,20
Autism Alliance,1,1,1,,0,Other,Cairo,20
Bowline Egypt,1,1,1,,0,Other,Cairo,20
Boysen Egypt,1,1,1,,0,Other,Giza,20
Canadian physio center,1,1,1,,0,Other,Giza,20
Cubic Information Systems,1,1,1,,0,Other,Cairo,20
EAenergy,1,1,1,,0,Other,Cairo,20
EPP,1,1,1,,0,Other,Cairo,20
El Mansour Development,1,1,1,,0,Other,Cairo,20
El Teriak Industrial Group,1,1,1,,0,Other,Giza,20
FirstTech,1,1,1,,0,Backend Development,Cairo,20
Five Max Digital Marketing LLC,1,1,1,,0,Other,Cairo,20
Flojics,1,1,1,,0,Full Stack Development,Alexandria,20
